No. of straight lines,Median height,Median width,Median radius,Median rectangularity ratio,Median circularity ratio,Median rectangular area,Median circular area
4868,57.0,59.0,37.0,0.4947916666666667,0.4947220365418895,3363.0,4300.840342764427

5108,56.0,58.0,37.0,0.4829222011385199,0.48271242612599374,3248.0,4300.840342764427

8248,58.0,55.0,37.0,0.5043632837750485,0.5043589429509638,3190.0,4300.840342764427

7223,58.0,52.0,35.0,0.5284556083929797,0.5282258064516129,3016.0,3848.4510006474966

7681,59.0,56.0,37.0,0.48659592189608636,0.4861979166666667,3304.0,4300.840342764427

7479,57.0,53.0,35.0,0.47606905811420175,0.4756675279931094,3021.0,3848.4510006474966

6711,57.0,51.0,35.0,0.49772408963585435,0.4975445217612737,2907.0,3848.4510006474966

